SouË·stka;ZnaËenÌ;P¯ipojenÌ;Specifikace;Typ;Funkce;Symbol;Str·nka Ë.;».skupiny;ViditelnÈ;V˝pisy zapojenÌ;V˝pisy materi·lu;Mech. p¯ÌsluöenstvÌ;V˝KON;OT·ËKY;ViditelnÈ
 (1);;;CYA,1 mm2, oragne;PS1:5/X13:C2;;sipka;4;1;Ano;Ano;Ano;;;;Ano
 (1);;;CYA,2.5 mm2, white;PS1:4/SRC-Distribution block;;sipka;4;1;Ano;Ano;Ano;;;;Ano
 (1);;;2,5mm2,gray;FU0:6/FI2:1;;sipka;2;1;Ano;Ano;Ano;;;;Ano
 (1);;;CYA,2.5 mm2, white;PS1:3/X14:D2;;sipka;4;1;Ano;Ano;Ano;;;;Ano
 (1);;;CYA,2.5 mm2, red;PS1:2/SRC-Distribution block;;sipka;4;1;Ano;Ano;Ano;;;;Ano
 (1);;;CYA,2.5 mm2, red;PS1:1/X14:C2;;sipka;4;1;Ano;Ano;Ano;;;;Ano
 (1);;;2,5mm2,brown;FU0:4/FI1:1;;sipka;2;1;Ano;Ano;Ano;;;;Ano
 (1);;;2,5mm2,black;FU0:2/X2:A1;;sipka;3;1;Ano;Ano;Ano;;;;Ano
 (1);;;2,5mm2,brown;FU0:4/X2:A2;;sipka;3;1;Ano;Ano;Ano;;;;Ano
 (1);;;2,5mm2,blue;FI0:8/X2:B1;;sipka;3;1;Ano;Ano;Ano;;;;Ano
 (1);;;2,5mm2,blue;FI2:4/X2:B3;;sipka;3;1;Ano;Ano;Ano;;;;Ano
 (1);;;1,5mm2,black;FU2:1/X2:A6;;sipka;2;1;Ano;Ano;Ano;;;;Ano
 (1);;;1,5mm2,blue;FI1:4/X2:B2;;sipka;3;1;Ano;Ano;Ano;;;;Ano
 (1);;;2,5mm2,gray;FU0:6/X2:A3;;sipka;3;1;Ano;Ano;Ano;;;;Ano
 (1);;;1,5mm2,black;FI1:2/X2:A4;;sipka;3;1;Ano;Ano;Ano;;;;Ano
 (1);;;1,5mm2,black;FU3:1/X2:A7;;sipka;3;1;Ano;Ano;Ano;;;;Ano
 (1);;;1,5mm2,black;FU1:1/X2:A5;;sipka;3;1;Ano;Ano;Ano;;;;Ano
 (1);;;1,5mm2,black;FU2:1/X2:A6;;sipka;3;1;Ano;Ano;Ano;;;;Ano
 (1);;;1,5mm2,black;X2:A8/PS2:L;;sipka;3;1;Ano;Ano;Ano;;;;Ano
