Souèástka;Znaèení;Pøipojení;Specifikace;Typ;Funkce;Symbol;Stránka è.;È.skupiny;Viditelné;Výpisy zapojení;Výpisy materiálu;Mech. pøíslušenství;VýKON;OTáèKY;Viditelné
 (0);;;;X23:A2/PUC3:IN18;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PS2:3/X24:C2;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PS2:4/X24:D2;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC3:RS422/TERM:3;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC3:OUT1/X18:1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC3:OUT2/X19:1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC3:OUT3/X20:1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC3:OUT4/X21:1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X18:A1/PUC3:IN7;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X18:A2/PUC3:IN8;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X19:A1/PUC3:IN9;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X19:A2/PUC3:IN10;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X20:A1/PUC3:IN11;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X20:A2/PUC3:IN12;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X21:A1/PUC3:IN13;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X21:A2/PUC3:IN14;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X22:A1/PUC3:IN15;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X22:A2/PUC3:IN16;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X23:A1/PUC3:IN17;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X23:A2/PUC3:IN18;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC3:PWR1/X5:C2;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC3:PWR2/X5:D2;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X2:B6/PS2:FG;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X2:A6/PS2:L1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-1:1/X3:A1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-1:2/X3:A2;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-1:3/X4:A1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-1:4/X4:A2;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-1:5/X5:A1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-1:6/X5:A2;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-1:7/X6:A1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-1:8/X6:A2;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-1:9/X7:A1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-1:10/X7:A2;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-1:11/X8:A1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-1:12/X3:C1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
